気温,1,2,3,4,5,6,7,8,9,10,11,12
1958,2.3,3.6,4.9,10.5,15.4,20.7,23.7,24.4,21.2,15.1,9.3,6.8
1959,1.7,4.4,6.6,12,16.1,19.9,23.7,25.1,22.3,16,10.2,5.3
1960,2.3,3.5,5.9,10,15.8,19.9,23.5,26.5,21.7,15.6,11.1,5
1961,0.9,1.6,4.8,11.4,17.2,19.7,26,26.2,23.8,17.1,10.5,5.5
1962,2.6,2.8,4.8,11.1,16.7,19.2,25.2,26.6,22.3,14.4,9.6,5.8
1963,1.2,1.9,4.7,11.5,16.4,20.5,24.6,25.7,19.8,15.1,9.9,5.9
1964,3.3,1.7,5.1,12.5,16.9,19.5,23.9,27.3,20.3,14.8,9.6,5
1965,2.3,1.9,3.9,8.3,16,20.1,22.2,26,20.9,14.8,9.8,4.2
1966,1.9,3.4,6,10.7,15.2,19.5,23,26.4,21.2,16.5,9.3,3
1967,1.5,1.8,5.7,10.9,16.9,20.4,24.8,26,21.9,15,9.3,3.3
1968,1.8,0.8,5.6,11,15,20.6,25.1,25.2,21.5,14.4,10.5,7.2
1969,1.5,1.7,3.7,10.8,16.1,20.1,24.2,25.1,21,15,9.5,2.9
1970,0.8,2.3,1.8,10,17.5,19.5,25,26.3,22.1,15.7,9.2,3.6
1971,2.3,2.5,4.5,10.3,15.7,19.8,24.7,26,20.7,14.8,9.9,4.3
1972,4.4,2.9,5.8,11.2,15.3,19.9,24.7,25,21.1,16.2,9.7,5.5
1973,3.9,3.7,4.1,12.1,15.5,19.2,25.7,27.4,21.4,15.2,8.8,2.5
1974,1.8,1.5,3.7,10.7,16.2,20.4,22.8,26,21.1,15.2,8.4,3.4
1975,1.4,1.3,4.8,11.7,15.7,20.2,24.4,26.7,23.5,15.8,11,4.1
1976,1.5,2.9,5.2,9.9,15.7,19.7,23.5,23.2,20.2,14.9,8.3,4.3
1977,-0.2,0.7,5.6,10.3,14.9,20.2,24.5,24.5,22,16.4,11.7,6.2
1978,2.8,0.4,4.9,10.8,16.5,21.4,27.1,27.2,21.3,15.5,10,5.7
1979,3.5,4.9,5.8,10.1,15.3,22.4,23.8,25.7,21.7,17.3,11.7,7
1980,2.6,1.4,4.3,10,16.5,21.6,22.6,23.9,21.2,15.6,10.4,4.7
1981,1.2,1.9,5.2,10.5,14.9,19,25.7,25.1,20.2,15.1,7.8,5.1
1982,2.5,2,6,11.3,17.5,19.8,23.6,26,20.9,16.3,11.4,6.3
1983,2.9,1.5,5.5,13.4,17,19.5,23,26.6,22.8,15,9.3,3.7
1984,0.5,-0.2,2.4,9.2,15.2,21.9,25.5,27.6,21.6,15.2,9.3,4.4
1985,0.1,3.2,5,11.9,16.9,20,24.2,29.2,21.5,15.5,10,3.5
1986,1,0.7,5.3,11,15.6,19.4,22.3,26.4,22.5,14.6,9.3,6.1
1987,2.3,3.1,5.5,10.7,16.6,21.5,25.2,26,22.8,16.9,10.5,5.9
1988,3.7,0.8,4.9,10.7,15.2,20.3,22.6,27.2,22.5,15.1,8,5.1
1989,4.8,4.4,6.9,11.7,16.1,19.8,24.4,26.6,21.9,15.7,11.7,6.1
1990,1.9,5.6,7.1,12.1,16.5,21.9,25.3,27.4,23.4,17.1,12.6,7.5
1991,3,2.4,5.7,12,16.4,22.1,24,24.9,22.7,16.8,9.8,6.4
1992,3.9,2.9,6.5,11.8,14.8,19.7,24.2,26.2,21.9,16.1,10.9,6.2
1993,4.1,4.5,5.6,10.2,15.2,19.4,22.8,23.3,20.9,15.2,11.6,5.6
1994,2.5,3.2,4.5,11.9,17.6,20.4,26.3,28.9,23.9,18,10.8,5.6
1995,2.4,3.2,6.1,12,16.6,19.6,24.2,26.8,21,17.6,9.6,4.7
1996,2.5,1.9,5.3,9.7,15.1,20.3,24.9,25.9,21.3,16.2,10.4,5.6
1997,3.5,3.5,6.3,11.2,17,20.7,24.8,26,21.4,15.3,11.6,6.3
1998,2.2,3.7,6.7,13.6,18.3,20.4,25.5,25.1,23.8,18.3,10.3,6.3
1999,3.1,2.6,6.7,12,16.8,20.8,25.2,28.3,24.1,17.1,11.3,5.3
2000,4.4,2.2,5.4,11.4,17.2,20.8,26,28.2,23.7,16.5,10.9,5.1
2001,1.5,2.1,5.9,12,18.3,20.8,26.5,26.5,22.1,16.9,10.3,4.7
2002,3.8,4.3,7.7,13.9,16.3,20.9,25.6,26.9,22.3,16.5,7.4,4.2
2003,2.3,3.5,5.5,11.8,17.4,21.4,22,24.9,22.3,15.8,12.1,6.8
2004,3,4.5,6.4,12,17.5,21.5,26,26,23.6,16.5,13,6.8
2005,3.1,1.9,5,11.7,15.4,22.4,24.3,27.1,23.6,17.5,10.3,2.7
2006,1.9,3.4,5.6,10.2,16.5,20.8,23.3,27.8,22.1,17.2,11.3,6.1
2007,4.9,5.1,6,10.8,16.8,21.3,22.9,27,24.7,16.7,10.2,6.3
2008,3,2.1,7.5,12.6,17,20.3,25.4,25.8,22.7,17.4,10.3,6.8
2009,3.7,4.2,6.3,11.8,17.6,21.4,23.7,24.9,21.6,16.7,11.5,5.7
2010,3.4,2.9,5.6,9.7,15.7,21.6,26.3,29,23.7,17.6,10.8,6.7
2011,1.3,3.7,4.2,10.2,16.3,21.2,26.5,27,23.7,16.7,11.8,4.4
2012,1.6,1,5.3,11.2,16.3,20.6,25.4,27.9,25.2,17.3,9.9,3.9