,1,2,3,4,5,6,7,8,9,10,11,12
1958,75.5,92.8,128.3,209.5,264.5,259.9,169.2,172.0,132.4,145.6,100.4,85.5
1959,57.5,81.1,134.6,215.6,204.9,224.6,180.4,223.8,163.4,150.2,114.8,63.3
1960,67.9,101.2,153.2,217.5,169.4,189.1,197.1,256.7,173.8,173.7,102.0,46.1
1961,60.1,107.5,180.5,230.5,242.6,174.5,237.1,270.6,225.4,136.3,127.6,81.8
1962,72.6,122.1,130.7,208.7,263.9,174.3,252.4,285.8,169.2,155.6,83.7,73.4
1963,41.9,108.1,199.6,210.2,184.7,144.5,189.8,244.3,179.8,147.0,106.1,91.0
1964,65.1,97.5,152.2,162.9,265.0,198.3,193.1,260.6,132.3,156.7,134.6,66.5
1965,74.6,100.0,153.8,188.2,216.6,232.8,138.7,309.6,177.6,205.9,109.9,51.4
1966,63.9,108.4,140.9,219.3,231.4,183.9,148.8,267.8,131.8,159.4,106.9,61.6
1967,55.7,102.6,175.4,178.7,275.1,236.3,210.0,221.1,161.2,133.0,94.8,51.0
1968,48.3,94.5,155.6,180.9,207.2,256.0,251.0,194.9,203.5,104.7,127.6,60.8
1969,49.6,66.6,142.9,175.7,258.5,182.7,176.9,205.6,151.6,177.0,94.6,47.2
1970,67.3,102.7,141.3,188.9,252.5,178.4,196.5,224.4,160.9,160.2,90.5,71.1
1971,74.2,107.3,145.6,224.6,206.9,190.4,177.5,217.5,128.6,130.3,117.1,76.3
1972,89.0,81.4,151.8,202.4,176.1,227.3,199.4,195.7,169.9,183.1,87.2,58.9
1973,86.7,100.6,173.8,198.8,252.3,161.4,272.9,243.1,145.4,147.2,95.1,58.1
1974,80.2,89.0,124.2,191.2,244.3,184.3,132.5,273.5,190.7,133.3,117.3,61.6
1975,72.8,83.5,149.5,188.0,197.0,190.5,220.5,297.0,214.5,134.6,132.5,67.5
1976,68.7,94.0,169.1,202.4,212.7,143.5,240.0,145.0,174.2,137.3,113.4,63.1
1977,69.6,82.9,140.6,174.8,213.3,200.9,217.1,192.1,165.7,215.6,79.6,74.4
1978,40.7,65.2,164.8,186.8,221.7,173.0,268.4,267.9,140.5,174.4,97.6,87.7
1979,79.9,83.7,142.3,177.4,226.8,151.4,200.8,217.3,145.5,159.9,91.1,77.5
1980,48.3,100.8,137.9,181.2,222.3,201.4,123.6,175.8,162.8,139.5,142.1,61.1
1981,89.3,69.1,185.5,204.9,200.6,141.9,232.2,214.7,191.6,149.7,53.2,75.0
1982,80.7,104.4,169.0,229.5,239.2,227.4,240.1,202.5,144.6,213.4,92.6,54.7
1983,77.0,60.4,163.1,183.9,277.2,215.7,137.1,216.2,194.3,153.2,101.0,87.7
1984,50.5,96.6,145.1,203.5,237.3,209.5,196.7,301.7,172.7,170.0,125.5,57.1
1985,82.1,101.2,128.3,222.8,254.0,211.1,220.2,342.6,163.4,155.4,76.0,74.6
1986,43.5,65.1,131.4,165.7,193.6,169.4,154.4,236.4,166.3,99.9,86.8,63.6
1987,34.1,72.8,111.1,180.7,209.4,250.6,157.5,168.2,165.2,160.0,117.5,85.6
1988,52.8,58.6,107.5,189.3,193.1,153.0,134.4,214.7,148.1,155.9,83.1,73.5
1989,74.3,77.8,118.3,194.7,179.4,162.1,226.2,209.4,82.7,146.9,76.9,63.4
1990,52.8,54.6,132.8,183.0,195.9,174.3,193.5,268.0,126.6,147.0,89.5,64.8
1991,51.8,50.2,123.2,232.5,223.0,155.2,130.1,187.1,147.1,82.6,93.7,72.1
1992,53.4,69.7,94.7,176.8,177.0,212.8,175.9,216.4,151.7,144.3,106.8,39.8
1993,52.1,72.2,124.5,161.6,214.9,114.6,125.7,99.0,121.8,138.9,93.7,60.4
1994,68.5,80.6,119.2,223.3,212.9,170.8,231.5,292.6,152.1,137.4,93.8,58.4
1995,52.3,79.1,120.8,192.4,173.0,133.4,127.8,185.2,132.8,152.2,98.2,40.6
1996,70.8,84.0,134.0,199.9,197.8,135.5,183.2,243.5,173.0,171.3,66.3,67.2
1997,52.1,101.7,154.4,151.9,173.3,175.1,194.2,216.7,89.6,170.6,108.0,84.2
1998,25.7,83.8,141.2,125.3,218.2,109.1,200.3,111.2,147.9,121.3,99.1,56.5
1999,61.4,75.3,138.5,162.5,236.6,159.5,186.6,230.4,153.0,145.1,100.5,47.0
2000,51.4,61.1,111.2,171.5,188.8,162.8,205.7,288.9,155.5,138.8,86.4,70.7
2001,45.0,69.5,143.7,232.7,183.8,151.9,234.5,223.7,161.3,156.3,92.6,50.5
2002,58.2,93.0,151.9,188.1,191.4,200.4,158.4,205.1,165.6,139.4,56.1,53.1
2003,70.5,92.2,148.1,151.4,237.9,146.8,128.0,109.2,147.6,161.8,91.7,50.7
2004,71.2,98.9,139.0,198.6,146.6,190.6,212.9,241.4,141.0,108.0,91.7,89.5
2005,58.0,38.7,101.4,205.1,203.8,195.4,118.0,201.2,158.3,132.4,90.5,59.0
2006,36.8,68.4,129.3,138.7,145.9,171.7,98.3,274.3,171.4,158.5,98.2,29.3
2007,75.3,119.4,103.1,168.2,192.8,197.0,115.2,220.6,188.5,146.8,102.4,37.6
2008,56.5,63.1,152.9,184.6,223.2,201.1,135.0,189.7,180.3,158.5,95.0,92.1
2009,82.9,70.0,143.2,183.9,183.0,183.3,100.8,155.1,158.0,162.1,106.1,57.8
2010,52.6,80.2,84.5,122.2,177.2,187.3,202.6,257.7,142.5,116.1,95.0,65.5
2011,49.4,112.9,137.3,183.5,188.1,163.8,220.0,196.5,176.3,152.2,95.5,52.9
2012,52.9,64.3,98.3,160.7,193.0,220.1,173.9,283.9,221.9,151.5,64.9,57.2